,year,percentage_of_population_using_internet,percentage_of_population_using_internet_data_source,percentage_of_population_having_access_to_electricity_x,percentage_of_population_having_access_to_electricity_data_source_x,gdp_per_capita_x,gdp_per_capita_data_source_x,urban_population_percentage_x,urban_population_percentage_data_source_x,percentage_of_population_having_access_to_electricity_y,percentage_of_population_having_access_to_electricity_data_source_y,gdp_per_capita_y,gdp_per_capita_data_source_y,urban_population_percentage_y,urban_population_percentage_data_source_y
0,2000,16.733028383622013,interpolated/extrapolated data,100.0,real data,36920.50339415867,interpolated/extrapolated data,100.0,real data,100.0,real data,36920.50339415867,interpolated/extrapolated data,100.0,real data
1,2001,19.523085589081404,interpolated/extrapolated data,100.0,real data,49163.68671297055,interpolated/extrapolated data,100.0,real data,100.0,real data,49163.68671297055,interpolated/extrapolated data,100.0,real data
2,2002,23.048251353448777,interpolated/extrapolated data,100.0,real data,59385.24341198016,interpolated/extrapolated data,100.0,real data,100.0,real data,59385.24341198016,interpolated/extrapolated data,100.0,real data
3,2003,27.308525676724344,interpolated/extrapolated data,100.0,real data,67585.17349118812,interpolated/extrapolated data,100.0,real data,100.0,real data,67585.17349118812,interpolated/extrapolated data,100.0,real data
4,2004,32.303908558908105,interpolated/extrapolated data,100.0,real data,73763.476950594,interpolated/extrapolated data,100.0,real data,100.0,real data,73763.476950594,interpolated/extrapolated data,100.0,real data
5,2005,38.0344,real data,100.0,real data,77920.15379019799,interpolated/extrapolated data,100.0,real data,100.0,real data,77920.15379019799,interpolated/extrapolated data,100.0,real data
6,2006,44.5,real data,100.0,real data,80055.20401,real data,100.0,real data,100.0,real data,80055.20401,real data,100.0,real data
7,2007,52.0,real data,100.0,real data,80168.62761,real data,100.00000000000004,real data,100.0,real data,80168.62761,real data,100.00000000000004,real data
8,2008,61.0,real data,100.0,real data,77595.78697999999,real data,100.0,real data,100.0,real data,77595.78697999999,real data,100.0,real data
9,2009,64.49999999999999,real data,100.0,real data,70000.90463,real data,100.0,real data,100.0,real data,70000.90463,real data,100.0,real data
10,2010,66.0,real data,100.0,real data,66235.64946,real data,100.0,real data,100.0,real data,66235.64946,real data,100.0,real data
11,2011,69.4659,real data,100.0,real data,65193.92152,real data,100.0,real data,100.0,real data,65193.92152,real data,100.0,real data
12,2012,69.7,real data,100.0,real data,64228.40066000001,real data,100.00000000000004,real data,100.0,real data,64228.40066000001,real data,100.00000000000004,real data
13,2013,71.4,real data,100.0,real data,63365.4795,real data,100.0,real data,100.0,real data,63365.4795,real data,100.0,real data
14,2014,74.1,real data,100.0,real data,63420.2643,real data,100.0,real data,100.0,real data,63420.2643,real data,100.0,real data
15,2015,77.00000000000001,real data,100.0,real data,63649.08666,real data,100.0,real data,100.0,real data,63649.08666,real data,100.0,real data
16,2016,79.0,real data,100.0,real data,64192.96355,real data,100.0,real data,100.0,real data,64192.96355,real data,100.0,real data
17,2017,81.0677,real data,100.0,real data,64764.05361,real data,100.0,real data,100.0,real data,64764.05361,real data,100.0,real data
18,2018,83.39872011205509,interpolated/extrapolated data,100.0,real data,66087.87703999999,real data,99.99999999999996,real data,100.0,real data,66087.87703999999,real data,99.99999999999996,real data
19,2019,85.99306033616529,interpolated/extrapolated data,100.0,real data,67261.87414,real data,100.0,real data,100.0,real data,67261.87414,real data,100.0,real data
20,2020,88.8507206723308,interpolated/extrapolated data,100.0,real data,62666.1202,real data,100.00000000000004,real data,100.0,real data,62666.1202,real data,100.00000000000004,real data
21,2021,91.9717011205512,interpolated/extrapolated data,100.0,real data,64404.57294,real data,100.0,real data,100.0,real data,64404.57294,real data,100.0,real data
22,2022,95.35600168082692,interpolated/extrapolated data,100.0,real data,66322.5587,real data,100.0,real data,100.0,real data,66322.5587,real data,100.0,real data
23,2023,99.00362235315744,interpolated/extrapolated data,99.99999999999996,interpolated/extrapolated data,67842.76678,real data,100.0,real data,99.99999999999996,interpolated/extrapolated data,67842.76678,real data,100.0,real data
